fiscal_quarter,quarter_end_date,fiscal_year,business_unit,segment,metric,value,unit,reporting_basis,source_type,source_url
Q1 FY24,2024-01-31,FY24,Commercial PS,Personal Systems,net_revenue,6045,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Commercial PS,Personal Systems,net_revenue,6045,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial PS,Personal Systems,net_revenue,6242,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial PS,Personal Systems,net_revenue,6242,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial PS,Personal Systems,net_revenue,6677,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial PS,Personal Systems,net_revenue,6677,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial PS,Personal Systems,net_revenue,6522,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial PS,Personal Systems,net_revenue,6522,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer PS,Personal Systems,net_revenue,2764,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer PS,Personal Systems,net_revenue,2764,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer PS,Personal Systems,net_revenue,2184,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer PS,Personal Systems,net_revenue,2184,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer PS,Personal Systems,net_revenue,2692,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer PS,Personal Systems,net_revenue,2692,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer PS,Personal Systems,net_revenue,3069,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer PS,Personal Systems,net_revenue,3069,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
